Generator,Judge,response in a well-structured JSON format,mitigation plan can be implemented as that it is feasible,mitigation plan is efficient as that it solves the root cause,mitigation plan is scalable as that it can be applied for large-scale issues,mitigation plan is clear for the operator as that it provides detailed steps and guidance,Overall Avg
microsoft_bitnet-b1.58-2B-4T,meta-llama/Llama-3.2-3B-Instruct,6.85,7.40,7.80,7.45,7.43,7.39
ibm-granite_granite-4.0-micro,meta-llama/Llama-3.2-3B-Instruct,8.32,7.08,9.18,7.45,7.20,7.85
google_gemma-2-2b-it,meta-llama/Llama-3.2-3B-Instruct,8.50,7.20,5.65,7.40,7.45,7.24
meta-llama_Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,7.26,7.63,8.35,7.90,9.00,8.03
Qwen_Qwen3-1.7B,meta-llama/Llama-3.2-3B-Instruct,5.60,6.30,7.20,5.60,5.70,6.08
microsoft_bitnet-b1.58-2B-4T,ibm-granite/granite-4.0-micro,8.80,7.50,8.00,8.60,7.20,8.02
ibm-granite_granite-4.0-micro,ibm-granite/granite-4.0-micro,8.30,8.90,9.00,9.00,8.80,8.80
google_gemma-2-2b-it,ibm-granite/granite-4.0-micro,9.80,7.70,9.20,7.90,7.90,8.50
meta-llama_Llama-3.2-3B-Instruct,ibm-granite/granite-4.0-micro,8.20,8.70,8.50,10.00,6.70,8.42
Qwen_Qwen3-1.7B,ibm-granite/granite-4.0-micro,10.00,9.20,8.20,9.60,7.50,8.90
microsoft_bitnet-b1.58-2B-4T,microsoft/bitnet-b1.58-2B-4T,6.25,6.60,5.00,6.30,8.10,6.45
ibm-granite_granite-4.0-micro,microsoft/bitnet-b1.58-2B-4T,7.98,8.65,8.75,8.70,9.10,8.64
google_gemma-2-2b-it,microsoft/bitnet-b1.58-2B-4T,5.20,6.60,5.75,8.30,7.40,6.65
meta-llama_Llama-3.2-3B-Instruct,microsoft/bitnet-b1.58-2B-4T,7.20,8.00,7.25,9.32,8.60,8.07
Qwen_Qwen3-1.7B,microsoft/bitnet-b1.58-2B-4T,5.48,2.85,4.95,7.00,5.50,5.16
microsoft_bitnet-b1.58-2B-4T,Qwen/Qwen3-1.7B,6.10,8.20,7.20,8.40,9.70,7.92
ibm-granite_granite-4.0-micro,Qwen/Qwen3-1.7B,8.50,7.50,9.10,8.50,9.00,8.52
google_gemma-2-2b-it,Qwen/Qwen3-1.7B,7.80,6.60,7.10,5.50,8.30,7.06
meta-llama_Llama-3.2-3B-Instruct,Qwen/Qwen3-1.7B,8.25,6.35,8.40,8.30,9.10,8.08
Qwen_Qwen3-1.7B,Qwen/Qwen3-1.7B,6.90,7.10,4.70,8.00,9.60,7.26
microsoft_bitnet-b1.58-2B-4T,google/gemma-2-2b-it,8.40,6.60,4.70,6.80,8.40,6.98
ibm-granite_granite-4.0-micro,google/gemma-2-2b-it,6.40,7.00,7.70,7.60,8.80,7.50
google_gemma-2-2b-it,google/gemma-2-2b-it,7.10,6.00,7.10,8.10,8.20,7.30
meta-llama_Llama-3.2-3B-Instruct,google/gemma-2-2b-it,8.40,7.10,6.70,6.00,8.20,7.28
Qwen_Qwen3-1.7B,google/gemma-2-2b-it,7.90,7.10,7.50,8.10,7.65,7.65
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model,meta-llama/Llama-3.2-3B-Instruct,8.25,8.15,8.08,8.10,8.68,8.25
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model,ibm-granite/granite-4.0-micro,8.10,7.50,9.30,10.00,7.70,8.52
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model,microsoft/bitnet-b1.58-2B-4T,5.45,8.35,7.10,7.80,7.90,7.32
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model,Qwen/Qwen3-1.7B,8.00,8.80,9.25,8.70,9.90,8.93
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model,google/gemma-2-2b-it,7.20,7.10,7.90,7.60,8.10,7.58
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model_2,meta-llama/Llama-3.2-3B-Instruct,8.14,8.08,8.80,6.45,8.85,8.06
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model_2,ibm-granite/granite-4.0-micro,9.30,7.90,9.50,9.80,9.10,9.12
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model_2,microsoft/bitnet-b1.58-2B-4T,7.89,8.10,6.88,8.35,6.90,7.62
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model_2,Qwen/Qwen3-1.7B,9.40,8.50,9.80,9.50,9.50,9.34
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model_2,google/gemma-2-2b-it,8.40,7.20,8.00,6.70,7.90,7.64
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model_3,meta-llama/Llama-3.2-3B-Instruct,6.63,7.95,8.35,8.19,8.98,8.02
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model_3,ibm-granite/granite-4.0-micro,9.80,8.60,9.30,10.00,9.50,9.44
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model_3,microsoft/bitnet-b1.58-2B-4T,6.53,7.18,8.75,8.65,8.45,7.91
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model_3,Qwen/Qwen3-1.7B,8.90,8.90,8.90,8.20,9.90,8.96
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model_3,google/gemma-2-2b-it,8.30,8.30,7.10,7.30,8.30,7.86
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_full_reward,meta-llama/Llama-3.2-3B-Instruct,7.15,7.20,8.57,8.29,7.72,7.79
