Generator,avg_rank,avg_score,Final Position
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model_3,6.7,8.437999999999999,1
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model_2,7.2,8.356,2
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability,7.8,8.27,3
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_safety,8.0,8.35,4
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_clarity,10.4,8.186,5
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_completeness,10.6,8.225999999999999,6
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency_effectiveness,11.4,8.106,7
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency,11.6,8.126000000000001,8
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_final_model,12.7,8.120000000000001,9
ibm-granite_granite-4.0-micro,13.1,8.262,10
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_efficiency,13.2,8.096,11
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_effectiveness,14.3,8.040000000000001,12
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety_scalability_efficiency_effectiveness_compliance,14.3,8.094,12
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility,15.1,7.996,13
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_feasibility,15.2,8.024000000000001,14
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_feasibility,15.4,8.086,15
meta-llama_Llama-3.2-3B-Instruct,16.0,7.976000000000001,16
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness,16.6,7.9959999999999996,17
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_format,16.9,7.896000000000001,18
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_clarity,17.0,7.944,19
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_compliance,17.5,7.83,20
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity_feasibility_safety,17.7,7.978,21
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_custom_completeness_clarity,18.9,7.92,22
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_full_reward,19.2,7.906000000000001,23
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_efficiency,20.1,7.906000000000001,24
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_leave_out_scalability,20.8,7.692,25
Qwen_Qwen3-1.7B,21.7,7.01,26
_home_db2003_Desktop_Amr_Tests_RCAEval_saved_models_only_one_scalability,22.3,7.739999999999999,27
google_gemma-2-2b-it,25.3,7.35,28
microsoft_bitnet-b1.58-2B-4T,28.0,7.351999999999999,29
