cpu,mem,io,socket,delay,loss,disk,method,dataset,length,tdelta,speed,with_baro_pre,with_baro_post,seed,model_class,scaler_type
0.78,0.98,,,0.94,0.65,0.93,baro,re1-ob,100,0,0.14,False,False,1,Dlinear,
0.78,0.98,,,0.94,0.65,0.93,baro,re1-ob,100,0,0.13,False,False,1,Fits,
0.76,0.96,,,0.95,0.68,0.98,RMDnet,re1-ob,100,0,1.76,False,True,1,Dlinear,
0.14,0.35,,,0.14,0.13,0.18,RMDnet,re1-ob,100,0,1.78,False,False,1,Dlinear,
0.75,0.95,,,0.94,0.67,0.9,RMDnet,re1-ob,100,0,1.84,False,True,1,Fits,
0.14,0.34,,,0.16,0.18,0.3,RMDnet,re1-ob,100,0,1.82,False,False,1,Fits,
0.61,0.75,,,0.62,0.61,0.57,baro,re1-ss,100,0,0.32,False,False,1,Dlinear,
0.61,0.75,,,0.62,0.61,0.57,baro,re1-ss,100,0,0.31,False,False,1,Fits,
0.81,0.83,,,0.78,0.79,0.82,RMDnet,re1-ss,100,0,4.13,False,True,1,Dlinear,
0.82,0.83,,,0.69,0.62,0.93,RMDnet,re1-ss,100,0,3.89,False,False,1,Dlinear,
0.2,0.07,,,0.15,0.22,0.9,baro,re1-tt,100,0,0.74,False,False,1,Dlinear,
0.2,0.07,,,0.15,0.22,0.9,baro,re1-tt,100,0,0.74,False,False,1,Fits,
0.45,0.71,,,0.48,0.28,0.99,RMDnet,re1-tt,100,0,10.94,False,True,1,Dlinear,
0.2,0.12,,,0.0,0.0,0.54,RMDnet,re1-tt,100,0,10.58,False,False,1,Dlinear,
0.68,0.91,,0.68,0.69,0.8,0.81,baro,re2-ob,100,0,0.13,False,False,1,Dlinear,
0.68,0.91,,0.68,0.69,0.8,0.81,baro,re2-ob,100,0,0.13,False,False,1,Fits,
0.81,0.92,,0.84,0.91,0.89,0.97,RMDnet,re2-ob,100,0,1.36,False,True,1,Dlinear,
0.56,0.63,,0.35,0.11,0.05,0.53,RMDnet,re2-ob,100,0,1.34,False,False,1,Dlinear,
0.85,0.97,,0.87,0.88,0.91,0.96,RMDnet,re2-ob,100,0,1.42,False,True,1,Fits,
0.57,0.61,,0.2,0.13,0.4,0.57,RMDnet,re2-ob,100,0,1.41,False,False,1,Fits,
0.81,0.84,,0.68,0.65,0.8,0.81,baro,re2-ss,100,0,0.14,False,False,1,Dlinear,
0.81,0.84,,0.68,0.65,0.8,0.81,baro,re2-ss,100,0,0.13,False,False,1,Fits,
0.97,0.99,,0.85,0.87,0.95,0.96,RMDnet,re2-ss,100,0,1.53,False,True,1,Dlinear,
0.69,0.52,,0.43,0.35,0.12,0.52,RMDnet,re2-ss,100,0,1.49,False,False,1,Dlinear,
0.76,1.0,,0.69,0.64,0.57,1.0,baro,re2-tt,100,0,0.36,False,False,1,Dlinear,
0.76,1.0,,0.69,0.64,0.57,1.0,baro,re2-tt,100,0,0.35,False,False,1,Fits,
0.75,0.96,,0.65,0.64,0.6,1.0,RMDnet,re2-tt,100,0,4.49,False,True,1,Dlinear,
0.0,0.0,,0.0,0.01,0.05,0.0,RMDnet,re2-tt,100,0,4.61,False,False,1,Dlinear,
0.83,0.95,,0.87,0.88,0.84,0.97,RMDnet,re2-ob,100,0,1.3,False,True,1,Fits,
0.64,0.63,,0.2,0.11,0.35,0.56,RMDnet,re2-ob,100,0,1.31,False,False,1,Fits,
1.0,1.0,,0.92,0.85,0.97,0.95,RMDnet,re2-ss,100,0,1.5,False,True,1,Fits,
0.63,0.41,,0.4,0.21,0.12,0.49,RMDnet,re2-ss,100,0,1.46,False,False,1,Fits,
0.71,0.95,,0.69,0.65,0.56,1.0,RMDnet,re2-tt,100,0,4.82,False,True,1,Fits,
0.0,0.0,,0.0,0.04,0.04,0.0,RMDnet,re2-tt,100,0,4.62,False,False,1,Fits,
0.7,0.98,,,0.94,0.72,0.92,RMDnet,re1-ob,100,0,1.75,False,True,1,Fits,
0.12,0.36,,,0.14,0.22,0.18,RMDnet,re1-ob,100,0,1.72,False,False,1,Fits,
0.81,0.86,,,0.86,0.85,0.71,RMDnet,re1-ss,100,0,4.04,False,True,1,Fits,
0.79,0.68,,,0.3,0.47,0.92,RMDnet,re1-ss,100,0,3.93,False,False,1,Fits,
0.51,0.66,,,0.47,0.28,0.99,RMDnet,re1-tt,100,0,11.06,False,True,1,Fits,
0.12,0.26,,,0.0,0.0,0.57,RMDnet,re1-tt,100,0,10.78,False,False,1,Fits,
0.8,0.88,,0.83,0.91,0.91,0.97,RMDnet,re2-ob,100,0,6.24,False,True,1,iTransformer,
0.17,0.32,,0.25,0.31,0.23,0.33,RMDnet,re2-ob,100,0,6.23,False,False,1,iTransformer,
0.99,0.99,,0.81,0.85,0.95,0.95,RMDnet,re2-ss,100,0,6.5,False,True,1,iTransformer,
0.24,0.35,,0.23,0.13,0.08,0.29,RMDnet,re2-ss,100,0,6.5,False,False,1,iTransformer,
